pix,freq(Hz),flux(Jy/b)
0,1404284487.3607688,0.0
1,1404310609.2098985,-0.004064327571541071
2,1404336731.0590281,-0.002374758943915367
3,1404362852.9081578,-0.007223925087600946
4,1404388974.7572875,-0.005432333797216415
5,1404415096.6064172,0.0014558439143002033
6,1404441218.4555469,-0.001010177773423493
7,1404467340.3046765,-0.0028924811631441116
8,1404493462.1538062,0.008097841404378414
9,1404519584.002936,-0.007181466091424227
10,1404545705.8520656,-0.004210019484162331
11,1404571827.7011952,-0.0032981419935822487
12,1404597949.550325,-0.008857655338943005
13,1404624071.3994546,-0.00839940458536148
14,1404650193.2485843,-0.00631937850266695
15,1404676315.097714,-0.004201602190732956
16,1404702436.9468436,0.0013874282594770193
17,1404728558.7959733,0.0003596673486754298
18,1404754680.645103,-0.003340961877256632
19,1404780802.4942327,0.000718718976713717
20,1404806924.3433623,0.0038011104334145784
21,1404833046.192492,0.0032588213216513395
22,1404859168.0416217,0.002567281713709235
23,1404885289.8907514,-0.002492627128958702
24,1404911411.739881,-0.0074381777085363865
25,1404937533.5890107,-0.011198473162949085
26,1404963655.4381404,-0.0037511815316975117
27,1404989777.28727,-0.0009569695685058832
28,1405015899.1363997,0.007583086844533682
29,1405042020.9855294,-0.008844184689223766
30,1405068142.834659,-0.004282197915017605
31,1405094264.6837888,-0.007430599071085453
32,1405120386.5329185,-0.005529429763555527
33,1405146508.3820481,-0.007699818350374699
34,1405172630.2311778,-0.0011702582705765963
35,1405198752.0803075,-0.008609822951257229
36,1405224873.9294372,-0.01087622344493866
37,1405250995.7785668,-0.007220094557851553
38,1405277117.6276965,0.003519707592204213
39,1405303239.4768262,0.0004339192237239331
40,1405329361.3259559,0.0006350833573378623
41,1405355483.1750855,0.00035975605715066195
42,1405381605.0242152,-0.005537848453968763
43,1405407726.873345,-0.0056919981725513935
44,1405433848.7224746,-0.000902223982848227
45,1405459970.5716043,0.0003179960185661912
46,1405486092.420734,-0.0075364867225289345
47,1405512214.2698636,-0.006988067179918289
48,1405538336.1189933,-0.0038892775774002075
49,1405564457.968123,0.0011272323317825794
50,1405590579.8172526,-0.0008927512099035084
51,1405616701.6663823,-0.006570755969733
52,1405642823.515512,0.00015344070561695844
53,1405668945.3646417,-0.00023266561038326472
54,1405695067.2137713,0.0005003187688998878
55,1405721189.062901,-0.00245592650026083
56,1405747310.9120307,-0.007551109883934259
57,1405773432.7611604,-0.0015283511020243168
58,1405799554.61029,0.0010665293084457517
59,1405825676.4594197,-0.0035378476604819298
60,1405851798.3085494,-0.008359385654330254
61,1405877920.157679,-0.009264902211725712
62,1405904042.0068088,-0.00280273356474936
63,1405930163.8559384,0.0015448558842763305
64,1405956285.705068,-0.0063204993493855
65,1405982407.5541978,0.0032307018991559744
66,1406008529.4033275,-0.0022686098236590624
67,1406034651.2524571,-0.00303076533600688
68,1406060773.1015868,-0.006569657474756241
69,1406086894.9507165,-0.00909606833010912
70,1406113016.7998462,0.0023513815831393003
71,1406139138.6489758,0.0023119777906686068
72,1406165260.4981055,0.000540310749784112
73,1406191382.3472352,-0.0020529916509985924
74,1406217504.1963649,-0.009237758815288544
75,1406243626.0454946,0.0019804153125733137
76,1406269747.8946242,-0.0014978843973949552
77,1406295869.743754,-0.00285178329795599
78,1406321991.5928836,-0.005830197595059872
79,1406348113.4420133,0.0024896760005503893
80,1406374235.291143,-0.0067382026463747025
81,1406400357.1402726,-0.005690436344593763
82,1406426478.9894023,-0.003997578751295805
83,1406452600.838532,0.0016852220287546515
84,1406478722.6876616,-0.003813544986769557
85,1406504844.5367913,-0.0010639214888215065
86,1406530966.385921,-0.0015312889590859413
87,1406557088.2350507,0.0024092854000627995
88,1406583210.0841804,0.0028734777588397264
89,1406609331.93331,0.0015265875263139606
90,1406635453.7824397,0.0007922236691229045
91,1406661575.6315694,-0.0042043039575219154
92,1406687697.480699,0.005991742946207523
93,1406713819.3298287,-0.0011170802172273397
94,1406739941.1789584,0.0001094424442271702
95,1406766063.028088,-0.0010526314144954085
96,1406792184.8772178,0.0018460321007296443
97,1406818306.7263474,-0.0036557973362505436
98,1406844428.5754771,0.00010835573630174622
99,1406870550.4246068,-4.75083252240438e-05
100,1406896672.2737365,-0.002327590249478817
101,1406922794.1228662,-0.0001499471254646778
102,1406948915.9719958,-0.002852810313925147
103,1406975037.8211255,0.001110624405555427
104,1407001159.6702552,0.0025992696173489094
105,1407027281.5193849,0.0002630703093018383
106,1407053403.3685145,-0.0011480614775791764
107,1407079525.2176442,0.00012112093827454373
108,1407105647.066774,0.001088146585971117
109,1407131768.9159036,-0.0009085600031539798
110,1407157890.7650332,0.006860163062810898
111,1407184012.614163,-0.0029947261791676283
112,1407210134.4632926,-0.0026557459495961666
113,1407236256.3124223,0.006633882876485586
114,1407262378.161552,1.989644624700304e-05
115,1407288500.0106816,-0.000472010113298893
116,1407314621.8598113,-0.002606569556519389
117,1407340743.708941,0.0003574967267923057
118,1407366865.5580707,-0.007351722102612257
119,1407392987.4072003,0.0006587232928723097
120,1407419109.25633,-0.0062179830856621265
121,1407445231.1054597,0.0014208905631676316
122,1407471352.9545894,-0.005127488169819117
123,1407497474.803719,0.000378296768758446
