File #,RRLs Present,Frequency (kHz),Poly Order,Range (km/s),RMS (Jy/Beam),Reduced Chi-Squared,AIC,p-test,Notes
0,[138. 139. 140.],"[926.4, 906.6, 887.4]","[2, 0, 1]","[2000.0, 2000.0, 2000.0]","[0.00443, 0.0077, 0.00502]","[1.97e-05, 5.9e-05, 2.52e-05]","[-2562.3, -2256.0, -2410.2]","[0.7966, 0.0, 0.9735]","['d bc of lower AIC', 'f', 'p>0.95']"
6,[136. 137. 138.],"[967.7, 946.8, 926.4]","[3, 0, 1]","[2000.0, 2000.0, 2000.0]","[0.00469, nan, 0.00447]","[2.22e-05, 0.0, 2e-05]","[-2651.9, nan, -2571.6]","[0.5485, nan, 0.8706]","['', 'f', '']"
7,[133. 134. 135.],"[1034.4, 1011.5, 989.3]","[2, 2, 2]","[2000.0, 2000.0, 2000.0]","[0.00453, 0.00435, 0.00461]","[2.06e-05, 1.9e-05, 2.14e-05]","[-2260.8, -2811.2, -2726.5]","[0.9348, 0.6352, 0.5613]","['lb', 'triangular hist', '']"
8,[131. 132. 133.],"[1082.3, 1058.0, 1034.4]","[1, 1, 2]","[3600.0, 2000.0, 2000.0]","[0.0043, 0.00485, 0.00472]","[1.85e-05, 2.35e-05, 2.24e-05]","[-2948.9, -2883.9, -2832.2]","[0.445, 0.329, 0.8146]","['e', '', '']"
9,[129. 130.],"[1133.3, 1107.4]","[2, 2]","[2000.0, 2000.0]","[0.00414, 0.00454]","[1.72e-05, 2.06e-05]","[-3176.4, -3048.1]","[0.734, 0.4327]","['triangular', '']"
10,[127. 128.],"[1187.4, 1159.9]","[2, 2]","[3000.0, 2000.0]","[0.00756, 0.00708]","[5.73e-05, 5.03e-05]","[-2925.0, -2944.4]","[0.2181, 0.0023]","['eb', 'fb']"
11,[125. 126.],"[1245.1, 1215.8]","[0, 2]","[2000.0, 2600.0]","[0.00565, 0.00718]","[3.16e-05, 5.17e-05]","[-1116.1, -3074.6]","[0.0, 0.8805]","['f', 'elb']"
12,[124. 125.],"[1275.4, 1245.1]","[0, 0]","[2000.0, 2000.0]","[nan, 0.00438]","[0.0, 1.64e-05]","[nan, -63.2]","[nan, nan]","['f', 'f']"
13,[122. 123.],"[1338.9, 1306.6]","[3, 3]","[2000.0, 2000.0]","[0.00417, 0.00407]","[1.75e-05, 1.66e-05]","[-3751.5, -3669.1]","[0.1343, 0.6446]","['', '']"
14,[120. 121.],"[1406.6, 1372.2]","[2, 2]","[2000.0, 2000.0]","[0.00396, 0.00411]","[1.58e-05, 1.69e-05]","[-3799.1, -3862.1]","[0.5392, 0.0643]","['', 'Poly 6 had low AIC but it fits to 2 very small bumps that can just be noise']"
1,[119. 120.],"[1442.3, 1406.6]","[1, 1]","[2000.0, 3000.0]","[0.00406, 0.00399]","[1.65e-05, 1.59e-05]","[-4070.9, -3984.3]","[0.7441, 0.1962]","['', 'e']"
2,[117. 118.],"[1517.2, 1479.1]","[1, 0]","[2000.0, 2000.0]","[0.00437, 0.00397]","[1.91e-05, 1.57e-05]","[-2429.9, -4189.7]","[0.475, 0.5614]","['ef', '']"
3,[116. 117.],"[1556.6, 1517.2]","[0, 1]","[2000.0, 2000.0]","[nan, 0.00468]","[0.0, 2.19e-05]","[nan, -4169.0]","[nan, 0.9376]","['f', '']"
4,[115.],[1597.4],[0],[2000.0],[0.00928],[8.56e-05],[-2029.3],[0.0],['f']
5,[114.],[1639.6],[1],[2000.0],[0.00406],[1.65e-05],[-4621.0],[0.1021],['']
