pix,freq(Hz),flux(Jy/b)
0,1029795165.2230148,0.0
1,1029821286.9074433,-0.023674795404076576
2,1029847408.5918715,-0.023682352155447006
3,1029873530.2763,-0.023218151181936264
4,1029899651.9607282,-0.017499281093478203
5,1029925773.6451566,-0.021796779707074165
6,1029951895.3295848,-0.01527839433401823
7,1029978017.0140133,-0.02084527537226677
8,1030004138.6984415,-0.025047605857253075
9,1030030260.38287,-0.024539392441511154
10,1030056382.0672982,-0.025394804775714874
11,1030082503.7517266,-0.022832177579402924
12,1030108625.4361548,-0.01895567961037159
13,1030134747.1205833,-0.02365243248641491
14,1030160868.8050115,-0.027178164571523666
15,1030186990.48944,-0.017736058682203293
16,1030213112.1738682,-0.01608245074748993
17,1030239233.8582966,-0.018187807872891426
18,1030265355.5427248,-0.010185007937252522
19,1030291477.2271533,-0.02639062888920307
20,1030317598.9115815,-0.018640359863638878
21,1030343720.59601,-0.019935738295316696
22,1030369842.2804382,-0.019978132098913193
23,1030395963.9648666,-0.016462989151477814
24,1030422085.6492949,-0.0249053705483675
25,1030448207.3337233,-0.020560134202241898
26,1030474329.0181515,-0.01915775239467621
27,1030500450.70258,-0.02009228989481926
28,1030526572.3870082,-0.023326052352786064
29,1030552694.0714366,-0.021945614367723465
30,1030578815.7558649,-0.017659610137343407
31,1030604937.4402933,-0.024131199344992638
32,1030631059.1247215,-0.028921766206622124
33,1030657180.80915,-0.023970628157258034
34,1030683302.4935782,-0.022438473999500275
35,1030709424.1780066,-0.021023863926529884
36,1030735545.8624349,-0.024041783064603806
37,1030761667.5468633,-0.028470506891608238
38,1030787789.2312915,-0.020587053149938583
39,1030813910.91572,-0.02461857534945011
40,1030840032.6001482,-0.019414937123656273
41,1030866154.2845767,-0.016177022829651833
42,1030892275.9690049,-0.020802656188607216
43,1030918397.6534333,-0.015980470925569534
44,1030944519.3378615,-0.02677994966506958
45,1030970641.02229,-0.01935398392379284
46,1030996762.7067182,-0.016933202743530273
47,1031022884.3911467,-0.021886568516492844
48,1031049006.0755749,-0.02414044924080372
49,1031075127.7600033,-0.01989811658859253
50,1031101249.4444315,-0.021325308829545975
51,1031127371.12886,-0.017574166879057884
52,1031153492.8132882,-0.02632482722401619
53,1031179614.4977167,-0.025699162855744362
54,1031205736.1821449,-0.010158869437873363
55,1031231857.8665733,-0.01972820609807968
56,1031257979.5510015,-0.022578544914722443
57,1031284101.23543,-0.024694813415408134
58,1031310222.9198582,-0.020998066291213036
59,1031336344.6042867,-0.02037987858057022
60,1031362466.2887149,-0.01749333180487156
61,1031388587.9731433,-0.020241152495145798
62,1031414709.6575716,-0.012874437496066093
63,1031440831.342,-0.021338213235139847
64,1031466953.0264282,-0.015692686662077904
65,1031493074.7108567,-0.022606106474995613
66,1031519196.3952849,-0.028719890862703323
67,1031545318.0797133,-0.026947345584630966
68,1031571439.7641416,-0.014789781533181667
69,1031597561.44857,-0.023005031049251556
70,1031623683.1329982,-0.028922731056809425
71,1031649804.8174267,-0.01948148012161255
72,1031675926.5018549,-0.01921418495476246
73,1031702048.1862833,-0.0233706496655941
74,1031728169.8707116,-0.021938873454928398
75,1031754291.55514,-0.018615281209349632
76,1031780413.2395682,-0.014636409468948841
77,1031806534.9239967,-0.016631873324513435
78,1031832656.6084249,-0.016741497442126274
79,1031858778.2928534,-0.02456401102244854
80,1031884899.9772816,-0.015050511807203293
81,1031911021.66171,-0.022850940003991127
82,1031937143.3461382,-0.02738930657505989
