pix,freq(Hz),flux(Jy/b)
0,1243765178.4169333,0.0
1,1243791299.7059896,0.0
2,1243817420.995046,0.0
3,1243843542.2841022,0.0
4,1243869663.5731585,0.0
5,1243895784.8622148,0.0
6,1243921906.151271,0.0
7,1243948027.4403274,0.0
8,1243974148.7293837,0.0
9,1244000270.01844,0.0
10,1244026391.3074963,0.0
11,1244052512.5965526,0.0
12,1244078633.885609,0.0
13,1244104755.1746652,0.0
14,1244130876.4637215,0.0
15,1244156997.7527778,0.0
16,1244183119.041834,0.0
17,1244209240.3308904,0.0
18,1244235361.6199467,0.0
19,1244261482.909003,0.0
20,1244287604.1980593,0.0
21,1244313725.4871156,0.0
22,1244339846.776172,0.0
23,1244365968.0652282,0.0
24,1244392089.3542845,0.0
25,1244418210.6433408,0.0
26,1244444331.9323971,0.0
27,1244470453.2214534,0.0
28,1244496574.5105097,0.0
29,1244522695.799566,0.0
30,1244548817.0886223,0.0
31,1244574938.3776786,0.0
32,1244601059.666735,0.0
33,1244627180.9557912,0.0
34,1244653302.2448475,0.0
35,1244679423.5339038,0.0
36,1244705544.8229601,0.0
37,1244731666.1120164,0.0
38,1244757787.4010727,0.0
39,1244783908.690129,0.0
40,1244810029.9791853,0.0
41,1244836151.2682416,0.0
42,1244862272.557298,0.0
43,1244888393.8463542,0.0
44,1244914515.1354105,0.0
45,1244940636.4244668,0.0
46,1244966757.7135231,0.0
47,1244992879.0025795,0.0
48,1245019000.2916358,0.0
49,1245045121.580692,0.0
50,1245071242.8697484,0.0
51,1245097364.1588047,0.0
52,1245123485.447861,0.0
53,1245149606.7369173,0.0
54,1245175728.0259736,0.0
55,1245201849.3150299,0.0
56,1245227970.6040862,0.0
57,1245254091.8931425,0.0
58,1245280213.1821988,0.0
59,1245306334.471255,0.0
60,1245332455.7603114,0.0
61,1245358577.0493677,0.0
62,1245384698.338424,0.0
63,1245410819.6274803,0.0
64,1245436940.9165366,0.0
65,1245463062.2055929,0.0
66,1245489183.4946492,0.0
67,1245515304.7837055,0.0
68,1245541426.0727618,0.0
69,1245567547.361818,0.0
70,1245593668.6508744,0.0
71,1245619789.9399307,0.0
72,1245645911.228987,0.0
73,1245672032.5180433,0.0
74,1245698153.8070996,0.0
75,1245724275.096156,0.0
76,1245750396.3852122,0.0
77,1245776517.6742685,0.0
78,1245802638.9633248,0.0
79,1245828760.252381,0.0
80,1245854881.5414374,0.0
81,1245881002.8304937,0.0
82,1245907124.11955,0.0
83,1245933245.4086063,0.0
84,1245959366.6976626,0.0
85,1245985487.986719,0.0
86,1246011609.2757752,0.0
87,1246037730.5648315,0.0
88,1246063851.8538878,0.0
89,1246089973.142944,0.0
90,1246116094.4320004,0.0
91,1246142215.7210567,0.0
92,1246168337.010113,0.0
93,1246194458.2991693,0.0
94,1246220579.5882256,0.0
95,1246246700.877282,0.0
96,1246272822.1663382,0.0
97,1246298943.4553945,0.0
98,1246325064.7444508,0.0
99,1246351186.033507,0.0
100,1246377307.3225634,0.0
101,1246403428.6116197,0.0
102,1246429549.900676,0.0
103,1246455671.1897323,0.0
104,1246481792.4787886,0.0
105,1246507913.767845,0.0
106,1246534035.0569012,0.0
107,1246560156.3459575,0.0
108,1246586277.6350138,0.0
109,1246612398.9240701,0.0
110,1246638520.2131264,0.0
111,1246664641.5021827,0.0
112,1246690762.791239,0.0
113,1246716884.0802953,0.0
114,1246743005.3693516,0.0
115,1246769126.658408,0.0
116,1246795247.9474642,0.0
117,1246821369.2365205,0.0
118,1246847490.5255768,0.0
