pix,freq(Hz),flux(Jy/b)
0,1083275978.45487,0.0
1,1083302099.7439268,0.0
2,1083328221.0329835,0.0
3,1083354342.3220403,0.0
4,1083380463.611097,0.0
5,1083406584.9001539,0.0
6,1083432706.1892107,0.0
7,1083458827.4782674,0.0
8,1083484948.7673242,0.0
9,1083511070.056381,0.0
10,1083537191.3454378,0.0
11,1083563312.6344945,0.0
12,1083589433.9235513,0.0
13,1083615555.212608,0.0
14,1083641676.5016649,0.0
15,1083667797.7907217,0.0
16,1083693919.0797784,0.0
17,1083720040.3688352,0.0
18,1083746161.657892,0.0
19,1083772282.9469488,0.0
20,1083798404.2360055,0.0
21,1083824525.5250623,0.0
22,1083850646.814119,0.0
23,1083876768.1031759,0.0
24,1083902889.3922327,0.0
25,1083929010.6812894,0.0
26,1083955131.9703462,0.0
27,1083981253.259403,0.0
28,1084007374.5484598,0.0
29,1084033495.8375165,0.0
30,1084059617.1265733,0.0
31,1084085738.41563,0.0
32,1084111859.7046869,0.0
33,1084137980.9937437,0.0
34,1084164102.2828004,0.0
35,1084190223.5718572,0.0
36,1084216344.860914,0.0
37,1084242466.1499708,0.0
38,1084268587.4390275,0.0
39,1084294708.7280843,0.0
40,1084320830.017141,0.0
41,1084346951.306198,0.0
42,1084373072.5952547,0.0
43,1084399193.8843114,0.0
44,1084425315.1733682,0.0
45,1084451436.462425,0.0
46,1084477557.7514818,0.0
47,1084503679.0405385,0.0
48,1084529800.3295953,0.0
49,1084555921.618652,0.0
50,1084582042.907709,0.0
51,1084608164.1967657,0.0
52,1084634285.4858224,0.0
53,1084660406.7748792,0.0
54,1084686528.063936,0.0
55,1084712649.3529928,0.0
56,1084738770.6420496,0.0
57,1084764891.9311063,0.0
58,1084791013.220163,0.0
59,1084817134.50922,0.0
60,1084843255.7982767,0.0
61,1084869377.0873334,0.0
62,1084895498.3763902,0.0
63,1084921619.665447,0.0
64,1084947740.9545038,0.0
65,1084973862.2435606,0.0
66,1084999983.5326173,0.0
67,1085026104.821674,0.0
68,1085052226.110731,0.0
69,1085078347.3997877,0.0
70,1085104468.6888444,0.0
71,1085130589.9779012,0.0
72,1085156711.266958,0.0
73,1085182832.5560148,0.0
74,1085208953.8450716,0.0
75,1085235075.1341283,0.0
76,1085261196.423185,0.0
77,1085287317.712242,0.0
78,1085313439.0012987,0.0
79,1085339560.2903554,0.0
80,1085365681.5794122,0.0
81,1085391802.868469,0.0
82,1085417924.1575258,0.0
83,1085444045.4465826,0.0
84,1085470166.7356393,0.0
85,1085496288.024696,0.0
86,1085522409.313753,0.0
87,1085548530.6028097,0.0
88,1085574651.8918664,0.0
89,1085600773.1809232,0.0
90,1085626894.46998,0.0
91,1085653015.7590368,0.0
92,1085679137.0480936,0.0
93,1085705258.3371503,0.0
94,1085731379.626207,0.0
95,1085757500.915264,0.0
96,1085783622.2043207,0.0
97,1085809743.4933774,0.0
98,1085835864.7824342,0.0
99,1085861986.071491,0.0
100,1085888107.3605478,0.0
101,1085914228.6496046,0.0
102,1085940349.9386613,0.0
103,1085966471.227718,0.0
104,1085992592.516775,0.0
105,1086018713.8058317,0.0
106,1086044835.0948884,0.0
107,1086070956.3839452,0.0
108,1086097077.673002,0.0
109,1086123198.9620588,0.0
110,1086149320.2511156,0.0
111,1086175441.5401723,0.0
112,1086201562.829229,0.0
113,1086227684.118286,0.0
114,1086253805.4073427,0.0
115,1086279926.6963995,0.0
116,1086306047.9854562,0.0
117,1086332169.274513,0.0
118,1086358290.5635698,0.0
119,1086384411.8526266,0.0
120,1086410533.1416833,0.0
121,1086436654.43074,0.0
122,1086462775.719797,0.0
123,1086488897.0088537,0.0
124,1086515018.2979105,0.0
125,1086541139.5869672,0.0
126,1086567260.876024,0.0
127,1086593382.1650808,0.0
128,1086619503.4541376,0.0
129,1086645624.7431943,0.0
130,1086671746.0322511,0.0
131,1086697867.321308,0.0
132,1086723988.6103647,0.0
133,1086750109.8994215,0.0
134,1086776231.1884782,0.0
135,1086802352.477535,0.0
136,1086828473.7665918,0.0
137,1086854595.0556486,0.0
138,1086880716.3447053,0.0
139,1086906837.6337621,0.0
140,1086932958.922819,0.0
141,1086959080.2118757,0.0
142,1086985201.5009325,0.0
143,1087011322.7899892,0.0
144,1087037444.079046,0.0
145,1087063565.3681028,0.0
146,1087089686.6571596,0.0
147,1087115807.9462163,0.0
148,1087141929.2352731,0.0
149,1087168050.52433,0.0
150,1087194171.8133867,0.0
151,1087220293.1024435,0.0
152,1087246414.3915002,0.0
153,1087272535.680557,0.0
154,1087298656.9696138,0.0
155,1087324778.2586706,0.0
156,1087350899.5477273,0.0
157,1087377020.8367841,0.0
158,1087403142.125841,0.0
159,1087429263.4148977,0.0
160,1087455384.7039545,0.0
161,1087481505.9930112,0.0
162,1087507627.282068,0.0
163,1087533748.5711248,0.0
164,1087559869.8601816,0.0
165,1087585991.1492383,0.0
166,1087612112.4382951,0.0
167,1087638233.727352,0.0
168,1087664355.0164087,0.0
169,1087690476.3054655,0.0
170,1087716597.5945222,0.0
171,1087742718.883579,0.0
172,1087768840.1726358,0.0
173,1087794961.4616926,0.0
174,1087821082.7507493,0.0
175,1087847204.0398061,0.0
176,1087873325.328863,0.0
177,1087899446.6179197,0.0
178,1087925567.9069765,0.0
179,1087951689.1960332,0.0
180,1087977810.48509,0.0
181,1088003931.7741468,0.0
182,1088030053.0632036,0.0
183,1088056174.3522604,0.0
184,1088082295.6413171,0.0
185,1088108416.930374,0.0
186,1088134538.2194307,0.0
187,1088160659.5084875,0.0
188,1088186780.7975442,0.0
189,1088212902.086601,0.0
190,1088239023.3756578,0.0
191,1088265144.6647146,0.0
192,1088291265.9537714,0.0
193,1088317387.2428281,0.0
194,1088343508.531885,0.0
195,1088369629.8209417,0.0
196,1088395751.1099985,0.0
197,1088421872.3990552,0.0
198,1088447993.688112,0.0
199,1088474114.9771688,0.0
200,1088500236.2662256,0.0
201,1088526357.5552824,0.0
202,1088552478.8443391,0.0
203,1088578600.133396,0.0
204,1088604721.4224527,0.0
205,1088630842.7115095,0.0
206,1088656964.0005662,0.0
207,1088683085.289623,0.0
208,1088709206.5786798,0.0
209,1088735327.8677366,0.0
210,1088761449.1567934,0.0
211,1088787570.4458501,0.0
212,1088813691.734907,0.0
213,1088839813.0239637,0.0
214,1088865934.3130205,0.0
215,1088892055.6020772,0.0
216,1088918176.891134,0.0
217,1088944298.1801908,0.0
218,1088970419.4692476,0.0
219,1088996540.7583044,0.0
220,1089022662.0473611,0.0
221,1089048783.336418,0.0
222,1089074904.6254747,0.0
223,1089101025.9145315,0.0
224,1089127147.2035882,0.0
225,1089153268.492645,0.0
226,1089179389.7817018,0.0
227,1089205511.0707586,0.0
228,1089231632.3598154,0.0
229,1089257753.6488721,0.0
230,1089283874.937929,0.0
231,1089309996.2269857,0.0
232,1089336117.5160425,0.0
233,1089362238.8050992,0.0
234,1089388360.094156,0.0
235,1089414481.3832128,0.0
236,1089440602.6722696,0.0
237,1089466723.9613264,0.0
238,1089492845.2503831,0.0
239,1089518966.53944,0.0
240,1089545087.8284967,0.0
241,1089571209.1175535,0.0
242,1089597330.4066103,0.0
243,1089623451.695667,0.0
244,1089649572.9847238,0.0
245,1089675694.2737806,0.0
246,1089701815.5628374,0.0
247,1089727936.8518941,0.0
248,1089754058.140951,0.0
249,1089780179.4300077,0.0
250,1089806300.7190645,0.0
251,1089832422.0081213,0.0
252,1089858543.297178,0.0
253,1089884664.5862348,0.0
254,1089910785.8752916,0.0
255,1089936907.1643484,0.0
256,1089963028.4534051,0.0
257,1089989149.742462,0.0
258,1090015271.0315187,0.0
259,1090041392.3205755,0.0
260,1090067513.6096323,0.0
261,1090093634.898689,0.0
262,1090119756.1877458,0.0
263,1090145877.4768026,0.0
264,1090171998.7658594,0.0
265,1090198120.0549161,0.0
266,1090224241.343973,0.0
267,1090250362.6330297,0.0
268,1090276483.9220865,0.0
269,1090302605.2111433,0.0
270,1090328726.5002,0.0
271,1090354847.7892568,0.0
272,1090380969.0783136,0.0
273,1090407090.3673704,0.0
274,1090433211.6564271,0.0
275,1090459332.945484,0.0
276,1090485454.2345407,0.0
277,1090511575.5235975,0.0
278,1090537696.8126543,0.0
279,1090563818.101711,0.0
280,1090589939.3907678,0.0
281,1090616060.6798246,0.0
282,1090642181.9688814,0.0
283,1090668303.2579381,0.0
284,1090694424.546995,0.0
285,1090720545.8360517,0.0
286,1090746667.1251085,0.0
287,1090772788.4141653,0.0
288,1090798909.703222,0.0
289,1090825030.9922788,0.0
290,1090851152.2813356,0.0
291,1090877273.5703924,0.0
292,1090903394.8594491,0.0
293,1090929516.148506,0.0
294,1090955637.4375627,0.0
295,1090981758.7266195,0.0
296,1091007880.0156763,0.0
297,1091034001.304733,0.0
298,1091060122.5937898,0.0
299,1091086243.8828466,0.0
300,1091112365.1719034,0.0
301,1091138486.4609601,0.0
302,1091164607.750017,0.0
303,1091190729.0390737,0.0
304,1091216850.3281305,0.0
305,1091242971.6171873,0.0
306,1091269092.906244,0.0
307,1091295214.1953008,0.0
308,1091321335.4843576,0.0
309,1091347456.7734144,0.0
310,1091373578.0624712,0.0
311,1091399699.351528,0.0
312,1091425820.6405847,0.0
313,1091451941.9296415,0.0
314,1091478063.2186983,0.0
315,1091504184.507755,0.0
316,1091530305.7968118,0.0
317,1091556427.0858686,0.0
318,1091582548.3749254,0.0
319,1091608669.6639822,0.0
320,1091634790.953039,0.0
321,1091660912.2420957,0.0
322,1091687033.5311525,0.0
323,1091713154.8202093,0.0
324,1091739276.109266,0.0
325,1091765397.3983228,0.0
326,1091791518.6873796,0.0
327,1091817639.9764364,0.0
328,1091843761.2654932,0.0
329,1091869882.55455,0.0
330,1091896003.8436067,0.0
331,1091922125.1326635,0.0
332,1091948246.4217203,0.0
333,1091974367.710777,0.0
334,1092000488.9998338,0.0
335,1092026610.2888906,0.0
336,1092052731.5779474,0.0
337,1092078852.8670042,0.0
338,1092104974.156061,0.0
339,1092131095.4451177,0.0
340,1092157216.7341745,0.0
341,1092183338.0232313,0.0
342,1092209459.312288,0.0
343,1092235580.6013448,0.0
344,1092261701.8904016,0.0
345,1092287823.1794584,0.0
346,1092313944.4685152,0.0
347,1092340065.757572,0.0
348,1092366187.0466287,0.0
349,1092392308.3356855,0.0
