File #,RRLs Present,Frequency (kHz),Poly Order,Range (km/s),RMS (Jy/Beam),Reduced Chi-Squared,AIC,p-test,Notes
0,[138. 139. 140.],"[926.4, 906.6, 887.4]","[0, 0, 2]","[2000.0, 2000.0, 2000.0]","[0.00826, 0.00447, 0.00451]","[6.8e-05, 1.99e-05, 2.04e-05]","[-2271.3, -2519.7, -2457.5]","[0.0, 0.2805, 0.8136]","['f spike', '', '']"
6,[136. 137. 138.],"[967.7, 946.8, 926.4]","[0, 0, 2]","[2000.0, 2000.0, 2000.0]","[0.00405, nan, 0.00767]","[1.63e-05, 0.0, 5.91e-05]","[-2730.3, nan, -2312.4]","[0.1085, nan, 0.0]","['', 'f', 'f spike']"
7,[133. 134. 135.],"[1034.4, 1011.5, 989.3]","[1, 2, 1]","[2800.0, 2000.0, 2000.0]","[0.004, 0.00439, 0.00405]","[1.6e-05, 1.94e-05, 1.64e-05]","[-2900.5, -2816.4, -2794.7]","[0.6708, 0.9496, 0.5404]","['e', '', '']"
8,[131. 132. 133.],"[1082.3, 1058.0, 1034.4]","[1, 3, 2]","[2800.0, 2000.0, 2000.0]","[0.00422, 0.004, 0.00408]","[1.78e-05, 1.62e-05, 1.67e-05]","[-2358.0, -2984.0, -2910.4]","[0.2521, 0.8872, 0.6002]","['ef', '', '']"
9,[129. 130.],"[1133.3, 1107.4]","[1, 2]","[2000.0, 2000.0]","[0.00412, 0.00402]","[1.7e-05, 1.62e-05]","[-3181.1, -3126.9]","[0.3214, 0.8973]","['', '']"
10,[127. 128.],"[1187.4, 1159.9]","[3, 5]","[3100.0, 2000.0]","[0.00507, 0.00432]","[2.59e-05, 1.89e-05]","[-3246.7, -3222.7]","[0.5173, 0.4304]","['elb', 'b']"
11,[125. 126.],"[1245.1, 1215.8]","[3, 3]","[2000.0, 2600.0]","[0.00626, 0.00619]","[3.99e-05, 3.86e-05]","[-1087.9, -3164.9]","[0.0358, 0.0678]","['f', 'elb']"
12,[124. 125.],"[1275.4, 1245.1]","[0, 0]","[2000.0, 2000.0]","[nan, 0.00464]","[0.0, 1.85e-05]","[nan, -62.5]","[nan, nan]","['f', 'f']"
13,[122. 123.],"[1338.9, 1306.6]","[1, 2]","[2000.0, 2000.0]","[0.00384, 0.00379]","[1.48e-05, 1.44e-05]","[-3811.3, -3730.3]","[0.5591, 0.4278]","['', '']"
14,[120. 121.],"[1406.6, 1372.2]","[2, 2]","[2180.0, 2000.0]","[0.00363, 0.00387]","[1.32e-05, 1.5e-05]","[-4049.6, -3893.9]","[0.8483, 0.5708]","['~e', '']"
1,[119. 120.],"[1442.3, 1406.6]","[0, 2]","[2000.0, 3000.0]","[0.00378, 0.00388]","[1.43e-05, 1.51e-05]","[-4114.2, -4003.0]","[0.9008, 0.8522]","['', 'e']"
2,[117. 118.],"[1517.2, 1479.1]","[0, 3]","[2000.0, 2000.0]","[0.00365, 0.0036]","[1.33e-05, 1.3e-05]","[-2512.3, -4257.6]","[0.7532, 0.6138]","['e', '']"
3,[116. 117.],"[1556.6, 1517.2]","[0, 4]","[2000.0, 2000.0]","[nan, 0.00398]","[0.0, 1.6e-05]","[nan, -4288.7]","[nan, 0.1771]","['f', '']"
4,[115.],[1597.4],[0],[2000.0],[0.00921],[8.44e-05],[-2032.4],[0.0],['f']
5,[114.],[1639.6],[0],[2000.0],[0.00461],[2.12e-05],[-4505.6],[0.8636],['']
