pix,freq(Hz),flux(Jy/b)
0,1297261199.5758278,0.0
1,1297287320.8572557,-0.01879674196243286
2,1297313442.1386836,-0.007406569551676512
3,1297339563.4201114,-0.001854620175436139
4,1297365684.7015393,-0.006754751782864332
5,1297391805.9829671,-0.01021154597401619
6,1297417927.264395,-0.013136439025402069
7,1297444048.5458229,-0.007235861383378506
8,1297470169.8272507,-0.016063295304775238
9,1297496291.1086786,-0.010538156144320965
10,1297522412.3901064,-0.006930998060852289
11,1297548533.6715343,-0.013119298033416271
12,1297574654.9529622,-0.009506653062999249
13,1297600776.23439,-0.0022188867442309856
14,1297626897.5158179,-0.0067010801285505295
15,1297653018.7972457,-0.006009059026837349
16,1297679140.0786736,-0.014866380020976067
17,1297705261.3601015,-0.006553741171956062
18,1297731382.6415293,-0.005223731976002455
19,1297757503.9229572,-0.008206985890865326
20,1297783625.204385,-0.02331138402223587
21,1297809746.485813,-0.011050255969166756
22,1297835867.7672408,-0.01407025009393692
23,1297861989.0486686,-0.01283261738717556
24,1297888110.3300965,-0.01261995080858469
25,1297914231.6115243,-0.014406616799533367
26,1297940352.8929522,-0.001985096838325262
27,1297966474.17438,-0.010218578390777111
28,1297992595.455808,-0.008977670222520828
29,1298018716.7372358,-0.005056141875684261
30,1298044838.0186636,-0.0023820814676582813
31,1298070959.3000915,-0.01243271492421627
32,1298097080.5815194,-0.006706934422254562
33,1298123201.8629472,-0.009269851259887218
34,1298149323.144375,-0.010633289813995361
35,1298175444.425803,-0.013507189229130745
36,1298201565.7072308,-0.010289237834513187
37,1298227686.9886587,-0.016275346279144287
38,1298253808.2700865,-0.013666943646967411
39,1298279929.5515144,-0.008755650371313095
40,1298306050.8329422,-0.003350933315232396
41,1298332172.11437,-0.01089823991060257
42,1298358293.395798,-0.0015827352181077003
43,1298384414.6772258,-0.0075191836804151535
44,1298410535.9586537,-0.013612380251288414
45,1298436657.2400815,-0.012881790287792683
46,1298462778.5215094,-0.0006915805279277265
47,1298488899.8029373,-0.005070902872830629
48,1298515021.0843651,-0.012962577864527702
49,1298541142.365793,-0.009242689236998558
50,1298567263.6472208,-0.00981916394084692
51,1298593384.9286487,-0.0012207539984956384
52,1298619506.2100766,-0.0019415090791881084
53,1298645627.4915044,-0.008040541782975197
54,1298671748.7729323,-0.01182933896780014
55,1298697870.0543602,-0.013726876117289066
56,1298723991.335788,-0.007934186607599258
57,1298750112.6172159,-0.008573738858103752
58,1298776233.8986437,-0.006847932934761047
59,1298802355.1800716,-0.008379561826586723
60,1298828476.4614995,-0.0030157265719026327
61,1298854597.7429273,-0.011717446148395538
62,1298880719.0243552,-0.011077824980020523
63,1298906840.305783,-0.0040195900946855545
64,1298932961.587211,-0.006777007132768631
65,1298959082.8686388,0.0020992655772715807
66,1298985204.1500666,-0.013176647946238518
67,1299011325.4314945,-0.015225815586745739
68,1299037446.7129223,-0.014373349957168102
69,1299063567.9943502,-0.006133618764579296
70,1299089689.275778,-0.004872368648648262
71,1299115810.557206,-0.008662860840559006
