pix,freq(Hz),flux(Jy/b)
0,976303260.9565725,0.0
1,976329382.7829525,-0.01708044484257698
2,976355504.6093328,-0.01447947695851326
3,976381626.4357128,-0.020176643505692482
4,976407748.2620931,-0.00474652461707592
5,976433870.0884731,-0.0114966481924057
6,976459991.9148533,-0.010286380536854267
7,976486113.7412333,-0.013326347805559635
8,976512235.5676136,-0.0032324851490557194
9,976538357.3939936,-0.018194828182458878
10,976564479.2203739,-0.004803180228918791
11,976590601.0467539,-0.015191043727099895
12,976616722.8731341,-0.002917841076850891
13,976642844.6995142,-0.005804129876196384
14,976668966.5258944,-0.006511235143989325
15,976695088.3522744,-0.005797396879643202
16,976721210.1786547,-0.012932773679494858
17,976747332.0050347,-0.008214011788368225
18,976773453.8314149,-0.007277009543031454
19,976799575.657795,-0.007224614266306162
20,976825697.4841752,-0.0005039545940235257
21,976851819.3105552,-0.012669031508266926
22,976877941.1369355,-0.0004994068876840174
23,976904062.9633155,-0.01821552775800228
24,976930184.7896957,-0.003027611877769232
25,976956306.6160758,-0.007204135879874229
26,976982428.442456,-0.017728814855217934
27,977008550.268836,-0.008838696405291557
28,977034672.0952163,-0.011268412694334984
29,977060793.9215963,-0.00503506837412715
30,977086915.7479765,-0.016334431245923042
31,977113037.5743566,-0.007349017541855574
32,977139159.4007368,-0.00962673220783472
33,977165281.2271168,-0.016396041959524155
34,977191403.0534971,-0.006545711308717728
35,977217524.8798771,-0.011147619225084782
36,977243646.7062573,-0.022208837792277336
37,977269768.5326374,-0.008978853933513165
38,977295890.3590176,-0.011852031573653221
39,977322012.1853976,-0.012165369465947151
40,977348134.0117779,-0.017105741426348686
41,977374255.8381579,-0.011232604272663593
42,977400377.6645381,-0.012089350260794163
43,977426499.4909182,-0.011670781299471855
44,977452621.3172984,-0.0023623118177056313
45,977478743.1436784,-0.009471997618675232
46,977504864.9700587,-0.008251703344285488
47,977530986.7964387,-0.007090938743203878
48,977557108.622819,-0.008948273956775665
49,977583230.449199,-0.00690839858725667
50,977609352.2755792,-0.0065700639970600605
51,977635474.1019592,-0.010017515160143375
52,977661595.9283395,-0.00824238546192646
53,977687717.7547195,-0.00771050900220871
54,977713839.5810997,-0.009494260884821415
55,977739961.4074798,-0.011209825985133648
56,977766083.23386,-0.012872879393398762
57,977792205.06024,-0.007420876994729042
58,977818326.8866203,-0.012313365004956722
59,977844448.7130003,-0.011060019955039024
60,977870570.5393806,-0.007474840618669987
61,977896692.3657606,-0.006143133156001568
62,977922814.1921408,-0.009498965926468372
63,977948936.0185208,-0.011749331839382648
64,977975057.8449011,-0.01107245683670044
65,978001179.6712811,-0.012388513423502445
66,978027301.4976614,-0.00945867970585823
67,978053423.3240414,-0.0034369276836514473
68,978079545.1504216,-0.009177271276712418
69,978105666.9768016,-0.008005555719137192
70,978131788.8031819,-0.009400883689522743
71,978157910.6295619,-0.012968701310455799
72,978184032.4559422,-0.017457617446780205
73,978210154.2823222,-0.007179411593824625
74,978236276.1087024,-0.006109229288995266
75,978262397.9350824,-0.0038081423845142126
76,978288519.7614627,-0.006391319911926985
77,978314641.5878427,-0.00030749509460292757
78,978340763.414223,-0.004655037075281143
79,978366885.240603,-0.007760252337902784
80,978393007.0669832,-0.007112426217645407
81,978419128.8933632,-0.005793620832264423
82,978445250.7197435,-0.012104353867471218
83,978471372.5461235,-0.008669945411384106
84,978497494.3725038,-0.009004749357700348
85,978523616.1988838,-0.0022307545877993107
86,978549738.025264,-0.0049517955631017685
87,978575859.851644,-0.005121945403516293
88,978601981.6780243,-0.008870624005794525
89,978628103.5044043,-0.0074033429846167564
90,978654225.3307846,-0.006738485302776098
91,978680347.1571646,-0.003566344501450658
92,978706468.9835448,-0.00970104057341814
93,978732590.8099248,-0.0035186989698559046
94,978758712.6363051,-0.0014237540308386087
95,978784834.4626851,-0.0031167478300631046
96,978810956.2890654,-0.009141930378973484
97,978837078.1154454,-0.012131854891777039
98,978863199.9418256,-0.00031465059146285057
99,978889321.7682056,-0.0045781247317790985
100,978915443.5945859,-0.007001189514994621
101,978941565.4209659,-0.0136337885633111
102,978967687.2473462,-0.0061957817524671555
103,978993809.0737262,-0.0031934434082359076
104,979019930.9001064,-0.00590486079454422
105,979046052.7264864,-0.011395316570997238
106,979072174.5528667,-0.006168390158563852
107,979098296.3792467,-0.009264077991247177
108,979124418.205627,-0.010690848343074322
109,979150540.032007,-0.007795056328177452
110,979176661.8583872,-0.010249007493257523
111,979202783.6847672,-0.004120280034840107
112,979228905.5111475,-0.010246483609080315
113,979255027.3375275,-0.00878047663718462
114,979281149.1639078,-0.004325957503169775
115,979307270.9902878,-0.013007836416363716
116,979333392.816668,-0.007120961789041758
117,979359514.643048,-0.007178081665188074
118,979385636.4694283,-0.010671354830265045
119,979411758.2958083,-0.0077981227077543736
120,979437880.1221886,-0.009909238666296005
121,979464001.9485686,-0.00942328479140997
122,979490123.7749488,-0.003722522174939513
123,979516245.6013288,-0.008380211889743805
124,979542367.4277091,-0.011869454756379128
125,979568489.2540891,-0.009135245345532894
126,979594611.0804694,-0.010122234001755714
127,979620732.9068494,-0.00472554424777627
128,979646854.7332296,-0.006489551160484552
129,979672976.5596097,-0.011953495442867279
130,979699098.3859899,-0.013954768888652325
131,979725220.2123699,-0.005078455433249474
132,979751342.0387502,-0.0024771203752607107
133,979777463.8651302,-0.00653922650963068
134,979803585.6915104,0.001710088923573494
135,979829707.5178905,-0.005460556596517563
136,979855829.3442707,-0.00782938115298748
137,979881951.1706507,-0.0031819918658584356
138,979908072.997031,-0.011518516577780247
139,979934194.823411,-0.0064108348451554775
140,979960316.6497912,-0.0027979512233287096
141,979986438.4761713,-0.005811871029436588
142,980012560.3025515,-0.009337082505226135
143,980038682.1289315,-0.012281284667551517
144,980064803.9553118,-0.007866538129746914
145,980090925.7816918,-0.009125743061304092
146,980117047.608072,-0.008312506601214409
147,980143169.434452,-0.0013822881737723947
148,980169291.2608323,-0.001912727952003479
149,980195413.0872123,-0.0047208634205162525
150,980221534.9135926,-0.010735754854977131
151,980247656.7399726,-0.009243706241250038
