pix,freq(Hz),flux(Jy/b)
0,1136795762.235962,0.0
1,1136821884.0623422,-0.022746799513697624
2,1136848005.8887224,-0.028707001358270645
3,1136874127.7151027,-0.030007196590304375
4,1136900249.541483,-0.038665544241666794
5,1136926371.3678632,-0.029957443475723267
6,1136952493.1942434,-0.036840710788965225
7,1136978615.0206237,-0.029765617102384567
8,1137004736.847004,-0.026682307943701744
9,1137030858.6733842,-0.03664979338645935
10,1137056980.4997644,-0.03420685976743698
11,1137083102.3261447,-0.03700811043381691
12,1137109224.152525,-0.04054141417145729
13,1137135345.9789052,-0.039585717022418976
14,1137161467.8052855,-0.026434069499373436
15,1137187589.6316657,-0.03456849232316017
16,1137213711.458046,-0.0406111478805542
17,1137239833.2844262,-0.03641051799058914
18,1137265955.1108065,-0.025089580565690994
19,1137292076.9371867,-0.039721954613924026
20,1137318198.763567,-0.03889922797679901
21,1137344320.5899472,-0.02462068758904934
22,1137370442.4163275,-0.030745917931199074
23,1137396564.2427077,-0.037400953471660614
24,1137422686.069088,-0.03264746442437172
25,1137448807.8954682,-0.030988305807113647
26,1137474929.7218485,-0.029222574084997177
27,1137501051.5482287,-0.03271898254752159
28,1137527173.374609,-0.03514235094189644
29,1137553295.2009892,-0.02813265658915043
30,1137579417.0273695,-0.0347871370613575
31,1137605538.8537498,-0.025563644245266914
32,1137631660.68013,-0.03552412986755371
33,1137657782.5065103,-0.03378743678331375
34,1137683904.3328905,-0.032659247517585754
35,1137710026.1592708,-0.03182743489742279
36,1137736147.985651,-0.02789621613919735
37,1137762269.8120313,-0.045175135135650635
38,1137788391.6384115,-0.031820181757211685
39,1137814513.4647918,-0.041263382881879807
40,1137840635.291172,-0.02642890252172947
41,1137866757.1175523,-0.03517541661858559
42,1137892878.9439325,-0.024472560733556747
43,1137919000.7703128,-0.03425415977835655
44,1137945122.596693,-0.03411160781979561
45,1137971244.4230733,-0.029684681445360184
46,1137997366.2494535,-0.03015647456049919
47,1138023488.0758338,-0.03527267277240753
48,1138049609.902214,-0.03416470065712929
49,1138075731.7285943,-0.02934585139155388
50,1138101853.5549746,-0.02887434884905815
51,1138127975.3813548,-0.03765719756484032
52,1138154097.207735,-0.023873889818787575
53,1138180219.0341153,-0.03238211199641228
54,1138206340.8604956,-0.034038376063108444
55,1138232462.6868758,-0.03314831480383873
56,1138258584.513256,-0.028002137318253517
57,1138284706.3396363,-0.028606915846467018
58,1138310828.1660166,-0.03403596580028534
59,1138336949.9923968,-0.03127262741327286
60,1138363071.818777,-0.03288180008530617
61,1138389193.6451573,-0.022639404982328415
62,1138415315.4715376,-0.03227433189749718
63,1138441437.2979178,-0.03513842076063156
64,1138467559.124298,-0.03223653510212898
65,1138493680.9506783,-0.04032713919878006
66,1138519802.7770586,-0.027638552710413933
67,1138545924.6034389,-0.029592696577310562
68,1138572046.429819,-0.02599506452679634
69,1138598168.2561994,-0.042303141206502914
70,1138624290.0825796,-0.031661566346883774
71,1138650411.9089599,-0.03412701562047005
72,1138676533.73534,-0.028672978281974792
73,1138702655.5617204,-0.02963804453611374
74,1138728777.3881006,-0.02709498256444931
75,1138754899.2144809,-0.03213333338499069
76,1138781021.0408611,-0.02889094687998295
77,1138807142.8672414,-0.028485937044024467
78,1138833264.6936216,-0.028948144987225533
79,1138859386.520002,-0.03972768783569336
80,1138885508.3463821,-0.027718380093574524
81,1138911630.1727624,-0.035350847989320755
82,1138937751.9991426,-0.0340723916888237
83,1138963873.825523,-0.035327304154634476
84,1138989995.6519032,-0.03337433934211731
85,1139016117.4782834,-0.03781541809439659
86,1139042239.3046637,-0.04059799015522003
87,1139068361.131044,-0.029670877382159233
88,1139094482.9574242,-0.025337038561701775
89,1139120604.7838044,-0.02804514393210411
90,1139146726.6101847,-0.03308640047907829
91,1139172848.436565,-0.03286948800086975
92,1139198970.2629452,-0.02914118394255638
93,1139225092.0893254,-0.03385589271783829
94,1139251213.9157057,-0.025788092985749245
95,1139277335.742086,-0.028368379920721054
96,1139303457.5684662,-0.031505875289440155
97,1139329579.3948464,-0.0280174370855093
98,1139355701.2212267,-0.024637212976813316
99,1139381823.047607,-0.026179226115345955
100,1139407944.8739872,-0.030597113072872162
101,1139434066.7003675,-0.03306986764073372
102,1139460188.5267477,-0.028942087665200233
103,1139486310.353128,-0.02959442511200905
104,1139512432.1795082,-0.03438460826873779
105,1139538554.0058885,-0.02838120050728321
106,1139564675.8322687,-0.028520818799734116
107,1139590797.658649,-0.02828104794025421
108,1139616919.4850292,-0.026689186692237854
109,1139643041.3114095,-0.025836970657110214
110,1139669163.1377897,-0.029784979298710823
111,1139695284.96417,-0.027086736634373665
112,1139721406.7905502,-0.027004709467291832
113,1139747528.6169305,-0.030491918325424194
114,1139773650.4433107,-0.03391364589333534
115,1139799772.269691,-0.02940443344414234
116,1139825894.0960712,-0.03561783954501152
117,1139852015.9224515,-0.03398171439766884
118,1139878137.7488317,-0.024769600480794907
119,1139904259.575212,-0.03217211738228798
120,1139930381.4015923,-0.03172754496335983
121,1139956503.2279725,-0.029185784980654716
122,1139982625.0543528,-0.03002392314374447
123,1140008746.880733,-0.03678729757666588
124,1140034868.7071133,-0.03642795979976654
125,1140060990.5334935,-0.034088384360075
126,1140087112.3598738,-0.03234687075018883
127,1140113234.186254,-0.03016079030930996
128,1140139356.0126343,-0.03556782752275467
129,1140165477.8390145,-0.0372973196208477
130,1140191599.6653948,-0.0345340371131897
131,1140217721.491775,-0.028952179476618767
132,1140243843.3181553,-0.035254646092653275
133,1140269965.1445355,-0.032734423875808716
134,1140296086.9709158,-0.03550822287797928
135,1140322208.797296,-0.03519168496131897
136,1140348330.6236763,-0.02703971043229103
137,1140374452.4500566,-0.03410112485289574
138,1140400574.2764368,-0.03867284953594208
139,1140426696.102817,-0.03249052166938782
140,1140452817.9291973,-0.0397413969039917
141,1140478939.7555776,-0.04173379763960838
142,1140505061.5819578,-0.0360124334692955
143,1140531183.408338,-0.04364946112036705
144,1140557305.2347183,-0.02715548686683178
145,1140583427.0610986,-0.03406870365142822
146,1140609548.8874788,-0.030843403190374374
147,1140635670.713859,-0.033073510974645615
148,1140661792.5402393,-0.02522261254489422
149,1140687914.3666196,-0.02442559413611889
150,1140714036.1929998,-0.030614715069532394
151,1140740158.01938,-0.03321540355682373
152,1140766279.8457603,-0.03580596670508385
153,1140792401.6721406,-0.02930544689297676
154,1140818523.4985209,-0.03109508939087391
155,1140844645.324901,-0.03006823919713497
156,1140870767.1512814,-0.029246747493743896
157,1140896888.9776616,-0.030223572626709938
158,1140923010.8040419,-0.01823604479432106
159,1140949132.630422,-0.016481289640069008
160,1140975254.4568024,-0.025181906297802925
161,1141001376.2831826,-0.027851510792970657
162,1141027498.1095629,-0.021336181089282036
163,1141053619.9359431,-0.026003211736679077
164,1141079741.7623234,-0.031609684228897095
165,1141105863.5887036,-0.03292296826839447
166,1141131985.415084,-0.02939896285533905
167,1141158107.2414641,-0.029761111363768578
168,1141184229.0678444,-0.0325435996055603
169,1141210350.8942246,-0.02587801218032837
170,1141236472.720605,-0.030922425910830498
171,1141262594.5469851,-0.03889919072389603
172,1141288716.3733654,-0.029691917821764946
173,1141314838.1997457,-0.024870211258530617
174,1141340960.026126,-0.03810001537203789
175,1141367081.8525062,-0.039975643157958984
176,1141393203.6788864,-0.02590290643274784
177,1141419325.5052667,-0.03427799046039581
178,1141445447.331647,-0.03204827755689621
179,1141471569.1580272,-0.03451598063111305
180,1141497690.9844074,-0.025438303127884865
181,1141523812.8107877,-0.029930680990219116
182,1141549934.637168,-0.040552932769060135
183,1141576056.4635482,-0.02994154766201973
184,1141602178.2899284,-0.030045464634895325
185,1141628300.1163087,-0.0352487675845623
186,1141654421.942689,-0.027096237987279892
187,1141680543.7690692,-0.034891482442617416
188,1141706665.5954494,-0.02840193547308445
189,1141732787.4218297,-0.04082662984728813
190,1141758909.24821,-0.028347520157694817
191,1141785031.0745902,-0.032811153680086136
192,1141811152.9009705,-0.02296346053481102
193,1141837274.7273507,-0.02232198789715767
194,1141863396.553731,-0.018082456663250923
195,1141889518.3801112,-0.025210779160261154
196,1141915640.2064915,-0.023560749366879463
197,1141941762.0328717,-0.02717653289437294
198,1141967883.859252,-0.029692919924855232
199,1141994005.6856322,-0.030464330688118935
200,1142020127.5120125,-0.027928197756409645
201,1142046249.3383927,-0.015994787216186523
202,1142072371.164773,-0.030733471736311913
203,1142098492.9911532,-0.0375501811504364
204,1142124614.8175335,-0.028806917369365692
205,1142150736.6439137,-0.03547225147485733
206,1142176858.470294,-0.0252101831138134
207,1142202980.2966743,-0.03258785232901573
208,1142229102.1230545,-0.025512849912047386
209,1142255223.9494348,-0.024782031774520874
210,1142281345.775815,-0.03111664392054081
211,1142307467.6021953,-0.034706372767686844
212,1142333589.4285755,-0.027243703603744507
213,1142359711.2549558,-0.02775636874139309
214,1142385833.081336,-0.026332538574934006
215,1142411954.9077163,-0.024725889787077904
216,1142438076.7340965,-0.027781808748841286
217,1142464198.5604768,-0.032889969646930695
218,1142490320.386857,-0.03703959286212921
219,1142516442.2132373,-0.03229378163814545
220,1142542564.0396175,-0.02427079528570175
221,1142568685.8659978,-0.030264398083090782
222,1142594807.692378,-0.032858408987522125
223,1142620929.5187583,-0.02799859084188938
224,1142647051.3451385,-0.033728405833244324
225,1142673173.1715188,-0.035201605409383774
226,1142699294.997899,-0.029292773455381393
227,1142725416.8242793,-0.029072636738419533
228,1142751538.6506596,-0.028221366927027702
229,1142777660.4770398,-0.02183341234922409
230,1142803782.30342,-0.02446908690035343
231,1142829904.1298003,-0.027835845947265625
232,1142856025.9561806,-0.022896524518728256
233,1142882147.7825608,-0.027123654261231422
234,1142908269.608941,-0.027987049892544746
235,1142934391.4353213,-0.02585873007774353
236,1142960513.2617016,-0.024440981447696686
237,1142986635.0880818,-0.025378642603754997
238,1143012756.914462,-0.026499781757593155
239,1143038878.7408423,-0.029477713629603386
240,1143065000.5672226,-0.022696603089571
241,1143091122.3936028,-0.02932414412498474
242,1143117244.219983,-0.02868248149752617
243,1143143366.0463634,-0.02432682178914547
244,1143169487.8727436,-0.028912102803587914
245,1143195609.6991239,-0.02459120750427246
246,1143221731.525504,-0.021278703585267067
247,1143247853.3518844,-0.029911169782280922
248,1143273975.1782646,-0.022464334964752197
249,1143300097.0046449,-0.032130807638168335
250,1143326218.8310251,-0.0303200576454401
251,1143352340.6574054,-0.03289492055773735
252,1143378462.4837856,-0.025280188769102097
253,1143404584.310166,-0.03428598865866661
254,1143430706.1365461,-0.028506770730018616
255,1143456827.9629264,-0.024350754916667938
256,1143482949.7893066,-0.02559969760477543
257,1143509071.615687,-0.01569225825369358
258,1143535193.4420671,-0.03176689147949219
259,1143561315.2684474,-0.01952262595295906
260,1143587437.0948277,-0.0377652607858181
261,1143613558.921208,-0.025355063378810883
262,1143639680.7475882,-0.029895955696702003
263,1143665802.5739684,-0.025544321164488792
264,1143691924.4003487,-0.03332829475402832
265,1143718046.226729,-0.023982848972082138
266,1143744168.0531092,-0.02771792560815811
267,1143770289.8794894,-0.023320604115724564
268,1143796411.7058697,-0.02764994092285633
269,1143822533.53225,-0.02075151540338993
270,1143848655.3586302,-0.03624412417411804
271,1143874777.1850104,-0.031590018421411514
272,1143900899.0113907,-0.027605852112174034
273,1143927020.837771,-0.02376214973628521
274,1143953142.6641512,-0.028102753683924675
275,1143979264.4905314,-0.031327687203884125
276,1144005386.3169117,-0.024938227608799934
277,1144031508.143292,-0.02780505083501339
278,1144057629.9696722,-0.024801185354590416
279,1144083751.7960525,-0.028072712942957878
280,1144109873.6224327,-0.02869516797363758
281,1144135995.448813,-0.029858050867915154
282,1144162117.2751932,-0.025101788341999054
283,1144188239.1015735,-0.01914285123348236
284,1144214360.9279537,-0.027985239401459694
285,1144240482.754334,-0.03083108738064766
286,1144266604.5807142,-0.02272755838930607
287,1144292726.4070945,-0.027113154530525208
288,1144318848.2334747,-0.02516486495733261
289,1144344970.059855,-0.019506126642227173
290,1144371091.8862352,-0.024655373767018318
291,1144397213.7126155,-0.026643117889761925
292,1144423335.5389957,-0.03241857513785362
293,1144449457.365376,-0.032554518431425095
294,1144475579.1917562,-0.0341641902923584
295,1144501701.0181365,-0.030830513685941696
296,1144527822.8445168,-0.030394049361348152
297,1144553944.670897,-0.021146975457668304
298,1144580066.4972773,-0.01773923449218273
299,1144606188.3236575,-0.023849165067076683
300,1144632310.1500378,-0.018506426364183426
301,1144658431.976418,-0.028825756162405014
302,1144684553.8027983,-0.021021783351898193
303,1144710675.6291785,-0.04245419800281525
304,1144736797.4555588,-0.035438504070043564
305,1144762919.281939,-0.02736593969166279
306,1144789041.1083193,-0.034172382205724716
307,1144815162.9346995,-0.023327698931097984
308,1144841284.7610798,-0.03212156891822815
309,1144867406.58746,-0.03804514929652214
310,1144893528.4138403,-0.02691502310335636
311,1144919650.2402205,-0.028232300654053688
312,1144945772.0666008,-0.02557186968624592
313,1144971893.892981,-0.028737090528011322
314,1144998015.7193613,-0.022663718089461327
315,1145024137.5457416,-0.02497677318751812
316,1145050259.3721218,-0.03371414542198181
317,1145076381.198502,-0.03982365131378174
318,1145102503.0248823,-0.017815440893173218
319,1145128624.8512626,-0.022501414641737938
320,1145154746.6776428,-0.030850348994135857
321,1145180868.504023,-0.02449234016239643
322,1145206990.3304033,-0.029209593310952187
323,1145233112.1567836,-0.019182933494448662
324,1145259233.9831638,-0.02106139063835144
325,1145285355.809544,-0.02383234165608883
326,1145311477.6359243,-0.025581227615475655
327,1145337599.4623046,-0.022870706394314766
328,1145363721.2886848,-0.02769886516034603
329,1145389843.115065,-0.032455939799547195
330,1145415964.9414454,-0.030436314642429352
331,1145442086.7678256,-0.03279490768909454
332,1145468208.5942059,-0.03362681344151497
333,1145494330.420586,-0.02752806432545185
334,1145520452.2469664,-0.03792189061641693
335,1145546574.0733466,-0.021615874022245407
336,1145572695.8997269,-0.02224075421690941
337,1145598817.7261071,-0.027569252997636795
338,1145624939.5524874,-0.02906884253025055
339,1145651061.3788676,-0.02812541089951992
340,1145677183.2052479,-0.029432576149702072
341,1145703305.0316281,-0.02922862209379673
342,1145729426.8580084,-0.023948175832629204
343,1145755548.6843886,-0.019297366961836815
344,1145781670.510769,-0.03247472271323204
345,1145807792.3371491,-0.020993730053305626
346,1145833914.1635294,-0.014938554726541042
347,1145860035.9899096,-0.017589399591088295
348,1145886157.81629,-0.01860198937356472
349,1145912279.6426702,-0.016413431614637375
350,1145938401.4690504,-0.034252703189849854
351,1145964523.2954307,-0.032817330211400986
352,1145990645.121811,-0.03821605443954468
353,1146016766.9481912,-0.021231913939118385
354,1146042888.7745714,-0.01706096902489662
355,1146069010.6009517,-0.02534901537001133
356,1146095132.427332,-0.02857155352830887
357,1146121254.2537122,-0.033647529780864716
358,1146147376.0800924,-0.02302207052707672
359,1146173497.9064727,-0.014554220251739025
360,1146199619.732853,-0.027025921270251274
