File #,RRLs Present,Frequency (kHz),Poly Order,Range (km/s),RMS (Jy/Beam),Reduced Chi-Squared,AIC,p-test,Notes
0,[138. 139. 140.],"[926.4, 906.6, 887.4]","[2, 1, 2]","[2000.0, 2000.0, 2000.0]","[0.00454, 0.00471, 0.00496]","[2.07e-05, 2.22e-05, 2.47e-05]","[-2551.5, -2481.9, -2414.0]","[0.0628, 0.6538, 0.5441]","['~4 sig', '', '']"
6,[136. 137. 138.],"[967.7, 946.8, 926.4]","[2, 0, 2]","[2000.0, 2000.0, 2000.0]","[0.00489, nan, 0.00456]","[2.4e-05, 0.0, 2.09e-05]","[-2632.7, nan, -2559.3]","[0.3131, nan, 0.089]","['noisy portion?', 'f', '3 4 sig; r']"
7,[133. 134. 135.],"[1034.4, 1011.5, 989.3]","[2, 2, 2]","[2800.0, 2000.0, 2000.0]","[0.00458, 0.00425, 0.00452]","[2.11e-05, 1.82e-05, 2.05e-05]","[-2826.7, -2822.3, -2736.8]","[0.0255, 0.4245, 0.3939]","['e; 4 sig; p<0.05', 'gaussian is triangular', '']"
8,[131. 132. 133.],"[1082.3, 1058.0, 1034.4]","[0, 4, 3]","[2000.0, 2000.0, 2000.0]","[0.00465, 0.00477, 0.00444]","[2.15e-05, 2.3e-05, 1.99e-05]","[-1727.3, -2887.4, -2873.5]","[0.7948, 0.8652, 0.0306]","['f', '', '4 sig; p<0.05']"
9,[129. 130.],"[1133.3, 1107.4]","[2, 1]","[2000.0, 2000.0]","[0.00419, 0.0045]","[1.76e-05, 2.02e-05]","[-3170.0, -3065.4]","[0.0454, 0.1023]","['3 3sig; p<0.05', 'triangular hist']"
10,[127. 128.],"[1187.4, 1159.9]","[4, 5]","[3100.0, 2000.0]","[0.00565, 0.00485]","[3.22e-05, 2.39e-05]","[-3178.8, -3163.7]","[0.4328, 0.4119]","['b/e', 'b but fainter']"
11,[125. 126.],"[1245.1, 1215.8]","[0, 3]","[2000.0, 2600.0]","[0.00559, 0.0057]","[3.09e-05, 3.27e-05]","[-1118.4, -3216.0]","[0.1508, 0.2303]","['f', 'e/b?; r']"
12,[124. 125.],"[1275.4, 1245.1]","[0, 0]","[2000.0, 2000.0]","[nan, 0.00836]","[0.0, 5.99e-05]","[nan, -55.4]","[nan, nan]","['f', 'f']"
13,[122. 123.],"[1338.9, 1306.6]","[2, 1]","[2000.0, 2000.0]","[0.00403, 0.00427]","[1.63e-05, 1.82e-05]","[-3775.9, -3651.9]","[0.6448, 0.3577]","['', '']"
14,[120. 121.],"[1406.6, 1372.2]","[2, 4]","[2000.0, 2000.0]","[0.00405, 0.00406]","[1.64e-05, 1.66e-05]","[-3795.4, -3855.8]","[0.8917, 0.3037]","['wiggly/lb; r', 'lb; r']"
1,[119. 120.],"[1442.3, 1406.6]","[1, 1]","[2000.0, 3000.0]","[0.00389, 0.00426]","[1.51e-05, 1.82e-05]","[-4092.3, -3936.4]","[0.105, 0.6541]","['', 'e']"
2,[117. 118.],"[1517.2, 1479.1]","[1, 1]","[3700.0, 2000.0]","[0.00418, 0.00415]","[1.75e-05, 1.72e-05]","[-4246.4, -4154.2]","[0.1866, 0.293]","['e', 'poly 4 has -4154.8']"
3,[116. 117.],"[1556.6, 1517.2]","[0, 1]","[2000.0, 2000.0]","[nan, 0.00458]","[0.0, 2.1e-05]","[nan, -4186.1]","[nan, 0.174]","['f', '']"
4,[115.],[1597.4],[0],[2000.0],[0.00634],[4e-05],[-2194.3],[0.7863],['f']
5,[114.],[1639.6],[1],[2000.0],[0.00569],[3.24e-05],[-4327.1],[0.4962],['']
