pix,freq(Hz),flux(Jy/b)
0,1243787919.080906,0.0
1,1243814040.847557,0.0
2,1243840162.6142082,0.0
3,1243866284.3808594,0.0
4,1243892406.1475105,0.0
5,1243918527.9141617,0.0
6,1243944649.6808128,0.0
7,1243970771.447464,0.0
8,1243996893.2141151,0.0
9,1244023014.9807663,0.0
10,1244049136.7474174,0.0
11,1244075258.5140686,0.0
12,1244101380.2807198,0.0
13,1244127502.047371,0.0
14,1244153623.814022,0.0
15,1244179745.5806732,0.0
16,1244205867.3473244,0.0
17,1244231989.1139755,0.0
18,1244258110.8806267,0.0
19,1244284232.6472778,0.0
20,1244310354.413929,0.0
21,1244336476.1805801,0.0
22,1244362597.9472313,0.0
23,1244388719.7138824,0.0
24,1244414841.4805336,0.0
25,1244440963.2471848,0.0
26,1244467085.013836,0.0
27,1244493206.780487,0.0
28,1244519328.5471382,0.0
29,1244545450.3137894,0.0
30,1244571572.0804405,0.0
31,1244597693.8470917,0.0
32,1244623815.6137428,0.0
33,1244649937.380394,0.0
34,1244676059.1470451,0.0
35,1244702180.9136963,0.0
36,1244728302.6803474,0.0
37,1244754424.4469986,0.0
38,1244780546.2136497,0.0
39,1244806667.980301,0.0
40,1244832789.746952,0.0
41,1244858911.5136032,0.0
42,1244885033.2802544,0.0
43,1244911155.0469055,0.0
44,1244937276.8135567,0.0
45,1244963398.5802078,0.0
46,1244989520.346859,0.0
47,1245015642.1135101,0.0
48,1245041763.8801613,0.0
49,1245067885.6468124,0.0
50,1245094007.4134636,0.0
51,1245120129.1801147,0.0
52,1245146250.946766,0.0
53,1245172372.713417,0.0
54,1245198494.4800682,0.0
55,1245224616.2467194,0.0
56,1245250738.0133705,0.0
57,1245276859.7800217,0.0
58,1245302981.5466728,0.0
59,1245329103.313324,0.0
60,1245355225.0799751,0.0
61,1245381346.8466263,0.0
62,1245407468.6132774,0.0
63,1245433590.3799286,0.0
64,1245459712.1465797,0.0
65,1245485833.913231,0.0
66,1245511955.679882,0.0
67,1245538077.4465332,0.0
68,1245564199.2131844,0.0
69,1245590320.9798355,0.0
70,1245616442.7464867,0.0
71,1245642564.5131378,0.0
72,1245668686.279789,0.0
73,1245694808.0464401,0.0
74,1245720929.8130913,0.0
75,1245747051.5797424,0.0
76,1245773173.3463936,0.0
77,1245799295.1130447,0.0
78,1245825416.879696,0.0
79,1245851538.646347,0.0
80,1245877660.4129982,0.0
81,1245903782.1796494,0.0
82,1245929903.9463005,0.0
83,1245956025.7129517,0.0
84,1245982147.4796028,0.0
85,1246008269.246254,0.0
86,1246034391.0129051,0.0
87,1246060512.7795563,0.0
