File #,RRLs Present,Frequency (kHz),Poly Order,Range (km/s),RMS (Jy/Beam),Reduced Chi-Squared,AIC,p-test,Notes
0,[138. 139. 140.],"[926.4, 906.6, 887.4]","[1, 3, 1]","[2000.0, 2000.0, 2000.0]","[0.00369, 0.00337, 0.00414]","[1.36e-05, 1.15e-05, 1.71e-05]","[-2640.0, -2644.6, -2487.4]","[0.9049, 0.7052, 0.2968]","['d?', '', '']"
5,[136. 137. 138.],"[967.7, 946.8, 926.4]","[2, 0, 1]","[2000.0, 2000.0, 2000.0]","[0.00327, nan, 0.00371]","[1.08e-05, 0.0, 1.38e-05]","[-2843.6, nan, -2648.8]","[0.4369, nan, 0.9019]","['', 'f', 'd?']"
6,[133. 134. 135.],"[1034.4, 1011.5, 989.3]","[2, 2, 1]","[2850.0, 2000.0, 2000.0]","[0.00308, 0.00317, 0.00321]","[9.5e-06, 1.01e-05, 1.03e-05]","[-3070.4, -2985.3, -2912.6]","[0.204, 0.572, 0.9399]","['e', '', '']"
7,[131. 132. 133.],"[1082.3, 1058.0, 1034.4]","[0, 1, 3]","[2000.0, 2000.0, 2000.0]","[0.00397, 0.00324, 0.00322]","[1.56e-05, 1.05e-05, 1.05e-05]","[-1767.5, -3102.2, -3032.8]","[0.3504, 0.4371, 0.1105]","['f', '~4sig', 'Poly 1 AIC was high but I overrode it since I know the curvature at edges are real; wide hist']"
8,[129. 130.],"[1133.3, 1107.4]","[1, 0]","[2000.0, 2000.0]","[0.00332, 0.00321]","[1.1e-05, 1.03e-05]","[-3306.9, -3258.8]","[0.8677, 0.9482]","['~3.5 sig', '~3.5 sig']"
9,[127. 128.],"[1187.4, 1159.9]","[4, 4]","[3000.0, 2000.0]","[0.00428, 0.00414]","[1.85e-05, 1.73e-05]","[-3272.6, -3248.9]","[0.4599, 0.8966]","['b', 'b']"
10,[125. 126.],"[1245.1, 1215.8]","[3, 3]","[2000.0, 2600.0]","[0.00454, 0.00551]","[2.1e-05, 3.06e-05]","[-1157.2, -3247.6]","[0.9779, 0.0632]","['f', 'elb']"
11,[124. 125.],"[1275.4, 1245.1]","[0, 0]","[2000.0, 2000.0]","[nan, 0.00356]","[0.0, 1.11e-05]","[nan, -76.9]","[nan, nan]","['f', 'f']"
12,[122. 123.],"[1338.9, 1306.6]","[2, 3]","[2000.0, 2000.0]","[0.00276, 0.00313]","[7.7e-06, 9.9e-06]","[-4035.3, -3854.7]","[0.434, 0.7716]","['Poly 3 is higher but poly 2 follows the trend outside 2000 better; ~4 sig', '']"
13,[120. 121.],"[1406.6, 1372.2]","[2, 1]","[2200.0, 2000.0]","[0.00308, 0.00323]","[9.5e-06, 1.04e-05]","[-4179.6, -4022.1]","[0.7159, 0.1775]","['e', '']"
1,[119. 120.],"[1442.3, 1406.6]","[0, 1]","[2000.0, 3000.0]","[0.00313, 0.00304]","[9.8e-06, 9.2e-06]","[-4241.6, -4192.2]","[0.212, 0.249]","['~4 sig removed @ 400-403; previously p<0.05', 'e']"
2,[117. 118.],"[1517.2, 1479.1]","[0, 1]","[3900.0, 2000.0]","[0.00321, 0.00295]","[1.03e-05, 8.7e-06]","[-4649.4, -4412.0]","[0.3083, 0.0785]","['e', '']"
3,[116. 117.],"[1556.6, 1517.2]","[0, 2]","[2000.0, 2000.0]","[nan, 0.00327]","[0.0, 1.07e-05]","[nan, -4435.7]","[nan, 0.2569]","['f', '~4 sig removed @ -786 - -784; previously p<0.05']"
4,[115.],[1597.4],[0],[2000.0],[0.00987],[9.7e-05],[-2002.4],[0.0865],['f']
